strike,bid,ask,volume,open_interest,type,maturity,expiration,spot,ticker,capture
500.0,0.0,0.0,22.0,22.0,call,0.07945205479452055,2026-10-23,764.7000122070312,SPY,2026-09-24 13:35 UTC
515.0,0.0,0.0,,1.0,call,0.07945205479452055,2026-10-23,764.7000122070312,SPY,2026-09-24 13:35 UTC
520.0,0.0,0.0,,4.0,call,0.07945205479452055,2026-10-23,764.7000122070312,SPY,2026-09-24 13:35 UTC
530.0,0.0,0.0,1.0,9.0,call,0.07945205479452055,2026-10-23,764.7000122070312,SPY,2026-09-24 13:35 UTC
535.0,0.0,0.0,,1.0,call,0.07945205479452055,2026-10-23,764.7000122070312,SPY,2026-09-24 13:35 UTC
540.0,0.0,0.0,1.0,49.0,call,0.07945205479452055,2026-10-23,764.7000122070312,SPY,2026-09-24 13:35 UTC
550.0,0.0,0.0,,4.0,call,0.07945205479452055,2026-10-23,764.7000122070312,SPY,2026-09-24 13:35 UTC
555.0,0.0,0.0,,1.0,call,0.07945205479452055,2026-10-23,764.7000122070312,SPY,2026-09-24 13:35 UTC
575.0,0.0,0.0,,1.0,call,0.07945205479452055,2026-10-23,764.7000122070312,SPY,2026-09-24 13:35 UTC
580.0,0.0,0.0,,1.0,call,0.07945205479452055,2026-10-23,764.7000122070312,SPY,2026-09-24 13:35 UTC
585.0,0.0,0.0,,1.0,call,0.07945205479452055,2026-10-23,764.7000122070312,SPY,2026-09-24 13:35 UTC
590.0,0.0,0.0,,10.0,call,0.07945205479452055,2026-10-23,764.7000122070312,SPY,2026-09-24 13:35 UTC
595.0,0.0,0.0,,1.0,call,0.07945205479452055,2026-10-23,764.7000122070312,SPY,2026-09-24 13:35 UTC
600.0,0.0,0.0,1.0,1.0,call,0.07945205479452055,2026-10-23,764.7000122070312,SPY,2026-09-24 13:35 UTC
605.0,0.0,0.0,15.0,0.0,call,0.07945205479452055,2026-10-23,764.7000122070312,SPY,2026-09-24 13:35 UTC
615.0,0.0,0.0,3.0,3.0,call,0.07945205479452055,2026-10-23,764.7000122070312,SPY,2026-09-24 13:35 UTC
620.0,0.0,0.0,4.0,2.0,call,0.07945205479452055,2026-10-23,764.7000122070312,SPY,2026-09-24 13:35 UTC
625.0,0.0,0.0,,3.0,call,0.07945205479452055,2026-10-23,764.7000122070312,SPY,2026-09-24 13:35 UTC
630.0,0.0,0.0,2.0,20.0,call,0.07945205479452055,2026-10-23,764.7000122070312,SPY,2026-09-24 13:35 UTC
635.0,0.0,0.0,,15.0,call,0.07945205479452055,2026-10-23,764.7000122070312,SPY,2026-09-24 13:35 UTC
640.0,0.0,0.0,,0.0,call,0.07945205479452055,2026-10-23,764.7000122070312,SPY,2026-09-24 13:35 UTC
645.0,0.0,0.0,1.0,2.0,call,0.07945205479452055,2026-10-23,764.7000122070312,SPY,2026-09-24 13:35 UTC
650.0,0.0,0.0,2.0,4.0,call,0.07945205479452055,2026-10-23,764.7000122070312,SPY,2026-09-24 13:35 UTC
655.0,0.0,0.0,22.0,23.0,call,0.07945205479452055,2026-10-23,764.7000122070312,SPY,2026-09-24 13:35 UTC
660.0,0.0,0.0,,12.0,call,0.07945205479452055,2026-10-23,764.7000122070312,SPY,2026-09-24 13:35 UTC
670.0,0.0,0.0,3.0,8.0,call,0.07945205479452055,2026-10-23,764.7000122070312,SPY,2026-09-24 13:35 UTC
675.0,0.0,0.0,22.0,27.0,call,0.07945205479452055,2026-10-23,764.7000122070312,SPY,2026-09-24 13:35 UTC
680.0,0.0,0.0,4.0,31.0,call,0.07945205479452055,2026-10-23,764.7000122070312,SPY,2026-09-24 13:35 UTC
685.0,0.0,0.0,4.0,6.0,call,0.07945205479452055,2026-10-23,764.7000122070312,SPY,2026-09-24 13:35 UTC
690.0,0.0,0.0,1.0,5.0,call,0.07945205479452055,2026-10-23,764.7000122070312,SPY,2026-09-24 13:35 UTC
695.0,0.0,0.0,2.0,21.0,call,0.07945205479452055,2026-10-23,764.7000122070312,SPY,2026-09-24 13:35 UTC
700.0,0.0,0.0,2.0,49.0,call,0.07945205479452055,2026-10-23,764.7000122070312,SPY,2026-09-24 13:35 UTC
705.0,0.0,0.0,36.0,42.0,call,0.07945205479452055,2026-10-23,764.7000122070312,SPY,2026-09-24 13:35 UTC
710.0,0.0,0.0,1.0,15.0,call,0.07945205479452055,2026-10-23,764.7000122070312,SPY,2026-09-24 13:35 UTC
715.0,0.0,0.0,4.0,13.0,call,0.07945205479452055,2026-10-23,764.7000122070312,SPY,2026-09-24 13:35 UTC
720.0,0.0,0.0,13.0,113.0,call,0.07945205479452055,2026-10-23,764.7000122070312,SPY,2026-09-24 13:35 UTC
721.0,0.0,0.0,2.0,7.0,call,0.07945205479452055,2026-10-23,764.7000122070312,SPY,2026-09-24 13:35 UTC
